9:00-12:00,12:00-15:00,15:00-18:00
Γραµµική Άλγεβρα (1),Εφαρμοσμένα Μαθηματικά (5),Προηγμένοι Επιστημονικοί Υπολογισμοί (7)
Τεχνητή Νοηµοσύνη (ΤΟ ΚΑΛΥΤΕΡΟ!!!!) (5),Τεχνητή Νοηµοσύνη (ΤΟ ΚΑΛΥΤΕΡΟ!!!!) ERGASTHRIO (5),Λογική Σχεδίαση (1)
Ανάλυση ΙΙ (3),Αρχές Γλωσσών Προγραµµατισµού (5),Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών  (7)
Γραφικά Ι  (5),Ανάπτυξη Λογισµικού για Πληροφοριακά Συστήματα (7),Εργαστήριο Κυκλωμάτων και Συστημάτων (3)
Σήµατα και Συστήµατα (3),Λειτουργικά Συστήµατα (5),Αλγοριθµική Επιχειρησιακή Έρευνα (7)
Σχεδίαση Ψηφιακών Συστηµάτων -VHDL (5),Προηγµένα Θέµατα Αλγορίθµων (7),Διακριτά Μαθηµατικά (1)
Αριθµητική Ανάλυση (5),Ειδικά Θέματα Θεωρητικής Πληροφορικής: Αλγόριθμοι Δομικής Βιοπληροφορικής (7),Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες (1)
Τηλεπικοινωνιακά Δίκτυα  (5),Αλγόριθμοι Βιοπληροφορικής (7),
Υλοποίηση Συστημάτων Βάσεων Δεδομένων (5),Υλοποίηση Συστημάτων Βάσεων Δεδομένων ERGASTHRIO (5),Υπολογιστική Πολυπλοκότητα (7)
Ψηφιακή Επεξεργασία Σήµατος (5),Ανάπτυξη Λογισµικού για Αλγοριθμικά Προβλήματα (7),
Αρχιτεκτονική Υπολογιστών ΙΙ (5),Επικοινωνία Ανθρώπου Μηχανής (7),
Δίκτυα Επικοινωνιών ΙΙ (5),ΤΠΕ στη Μάθηση (Πληροφορική κ Εκπαίδευση) (7),
Τεχνητή Νοημοσύνη ΙΙ (ΤΟ ΔΕΥΤΕΡΟ ΚΑΛΥΤΕΡΟ!!!) (7),Τεχνητή Νοημοσύνη ΙΙ (ΤΟ ΔΕΥΤΕΡΟ ΚΑΛΥΤΕΡΟ!!!) ERGASTHRIO (7),
Δοµή και Θεσµοί της Ευρωπαϊκής Ένωσης (7),Εισαγωγή στον Προγραµµατισµό (1),Εισαγωγή στον Προγραµµατισµό ERGASTHRIO (1)
Σχεδίαση VLSI Κυκλωµάτων (7),Πιθανότητες και στοιχεία Στατιστικής (3),
Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος: Ενισχυτική μηχανική μάθηση και στοχαστικά παίγνια (7),Αντικειµενοστραφής Προγραµµατισµός (3),Αντικειµενοστραφής Προγραµµατισµός ERGASTHRIO (3)
Συστήματα Πληροφορικής και e-Προσβασιμότητα για μαθητές με αναπηρία  (7),,
,,
,,
,,
,,
